캠퍼스,캠퍼스위치,학과명,전공직종,전공계열구분,과정구분,기간(개월),주간야간구분,전공설명,전공성향
서울정수,서울 용산구,스마트정보통신과,IoT활용전공,정보통신IT계열,2년제학위과정,12,주간,"사물에 센서와 통신 기능을 결합하여 데이터를 수집하고, 이를 제어하는 임베디드 시스템 및 네트워크 소프트웨어를 구축하는 기술을 배우는 전공입니다.",연결성/호기심/실용성
서울정수,서울 용산구,스마트정보통신과,IT융합전공,정보통신IT계열,2년제학위과정,12,주간,"전통적인 산업 기술에 AI, 빅데이터, 클라우드 등 최신 소프트웨어 기술을 접목하여 시너지를 내는 차세대 지능형 시스템 개발 기술을 배우는 전공입니다.",다각화/적응력/통찰력
서울정수,서울 용산구,스마트정보통신과,지능형네트워크전공,정보통신IT계열,2년제학위과정,12,주간,클라우드 가상화와 AI 기술을 네트워크 인프라에 접목하여 데이터 전송 경로를 최적화하고 지능적으로 시스템을 관리·보안하는 기술을 배우는 전공입니다.,논리력/보안성/안정성
서울정수,서울 용산구,산업디자인과,제품정보디자인전공,디자인계열,2년제학위과정,12,주간,제품의 외형적인 미적 디자인뿐만 아니라 사용자의 이용 행태를 분석하여 제품에 담긴 정보를 효과적으로 전달하는 시각 및 산업 디자인 기술을 배우는 전공입니다.,분석력/조화/실용성
서울정수,서울 용산구,산업디자인과,제품개발디자인전공,디자인계열,2년제학위과정,12,주간,"아이디어 구상부터 3D 모델링, 시제품 제작까지의 과정을 거쳐 실생활에 필요한 제품의 외형과 구조를 창의적으로 설계하고 개발하는 기술을 배우는 전공입니다.",입체감/관찰력/실행력
서울정수,서울 용산구,자동차과,자동차시스템정비전공,자동차계열,2년제학위과정,12,야간,"친환경 자동차와 자율주행 기술 등 첨단화된 자동차의 구조를 이해하고, 첨단 장비를 활용하여 차량의 고장을 진단·수리 및 유지보수하는 기술을 배우는 전공입니다.",탐구심/책임감/적응력
서울정수,서울 용산구,자동차과,자동차시스템정비전공,자동차계열,2년제학위과정,12,주간,"친환경 자동차와 자율주행 기술 등 첨단화된 자동차의 구조를 이해하고, 첨단 장비를 활용하여 차량의 고장을 진단·수리 및 유지보수하는 기술을 배우는 전공입니다.",탐구심/책임감/적응력
서울정수,서울 용산구,자동차과,자동차차체전공,자동차계열,2년제학위과정,12,주간,"사고나 충격으로 손상된 자동차의 프레임과 외판을 복원하기 위해 차체 교정, 용접, 판금 및 도장 기술을 활용하여 차량을 본래의 상태로 복원하는 기술을 배우는 전공입니다.",정교함/복원력/공간감
서울정수,서울 용산구,전기과,전기직종,전기계열,기능장,12,야간,"가정 및 산업 현장의 모든 에너지원인 전기를 안전하게 공급하기 위해 전기 설비를 설계, 시공하고 운영 및 유지보수하는 필수 기간 산업 기술을 배우는 전공입니다.",원칙/꼼꼼함/책임감
서울정수,서울 용산구,전기과,신재생에너지전공,전기계열,2년제학위과정,12,주간,"태양광, 풍력, 수소 등 화석 연료를 대체할 지속 가능한 에너지를 생산하고 이를 효율적으로 저장·관리하는 시스템의 설계와 운영 기술을 배우는 전공입니다.",미래지향/논리력/현장실무
서울정수,서울 용산구,전기과,전력운영시스템전공,전기계열,2년제학위과정,12,주간,"발전소에서 만든 전기가 수용가까지 안전하게 전달되도록 전력 계통을 모니터링하고, 변전 및 배전 설비의 지능형 운영 시스템을 관리하는 기술을 배우는 전공입니다.",판단력/치밀함/사명감
서울정수,서울 용산구,전기과,IT융합전기설비시공관리직종,전기계열,신중년특화과정,6,주간,"전통적인 전기 시공 기술에 IT 모니터링 및 자동 제어 시스템을 결합하여, 스마트 빌딩이나 공장의 전기 설비를 효율적으로 구축하고 현장을 총괄 관리하는 기술을 배우는 전공입니다.",리더십/복합사고/철저함
서울정수,서울 용산구,컴퓨터응용기계과,초정밀금형가공전공,기계계열,2년제학위과정,12,주간,"반도체, 모바일, 자동차 부품 등 정밀 제품을 대량 생산하기 위해 필요한 금속 틀(금형)을 초정밀 공작기계와 소프트웨어를 활용하여 설계하고 제작하는 기술을 배우는 전공입니다.",완벽주의/인내심/공간지각력
서울정수,서울 용산구,컴퓨터응용기계과,초정밀부품가공전공,기계계열,2년제학위과정,12,주간,"첨단 산업의 핵심인 반도체, 항공우주, 의료기기에 사용되는 고부가가치 부품을 생산하기 위해 CNC 공작기계와 정밀 측정 장비를 활용한 가공 기술을 배우는 전공입니다.",치밀함/기술탐구/집중력
서울정수,서울 용산구,컴퓨터응용기계설계과,기계설계전공,기계설계계열,2년제학위과정,12,주간,"컴퓨터를 활용한 CAD/CAM 시스템을 통해 기계 부품을 정밀하게 설계하고, 가공 데이터 생성을 통해 실제 제품 제작으로 이어지는 일련의 공학적 프로세스를 배우는 전공입니다.",공간지각력/논리력/집중력
서울정수,서울 용산구,컴퓨터응용기계설계과,기구설계전공,기계설계계열,2년제학위과정,12,주간,"제품의 내부 메커니즘과 외형 구조가 원활하게 작동하도록 각종 부품을 배치하고, 재료의 특성을 고려하여 실제 양산 가능한 형태로 설계하는 기술을 배우는 전공입니다.",입체감/실용성/분석력
서울정수,서울 용산구,전기공학과,전공,전기계열,학위전공심화,12,야간,"전기 에너지의 생성부터 전송, 소비에 이르는 전 과정을 공학적으로 설계하고, 시퀀스 제어 및 PLC 등을 활용한 자동화 시스템의 운용과 유지보수 기술을 배우는 학과입니다.",시스템/분석력/정확성
서울정수,서울 용산구,스마트자동화과,스마트자동화로봇제어직종,자동화계열,하이테크과정,10,주간,"산업 현장의 생산성을 높이기 위해 로봇 팔과 자동화 설비를 PLC, 마이크로프로세서 등으로 정밀하게 제어하고 최적의 공정 시스템을 구축하는 기술을 배웁니다.",논리력/응용력/관찰력
서울정수,서울 용산구,기계설계공학과,기계설계전공,기계설계계열,학위전공심화,12,야간,"기계 공학적 이론을 바탕으로 자동화 설비와 부품의 구조를 해석하며, CAD/CAE 시스템을 활용해 실제 산업 현장에 필요한 최적의 기계 장치를 설계하고 검증하는 기술을 배우는 전공입니다.",분석력/공간감/치밀함
서울정수,서울 용산구,인공지능소프트웨어과,인공지능소프트웨어직종,정보통신IT계열,하이테크과정,10,주간,"데이터를 수집·분석하여 학습 모델을 구축하고, 이를 활용해 지능형 서비스나 앱을 개발하기 위한 AI 알고리즘 설계와 소프트웨어 구현 기술을 배우는 전공입니다.",데이터/유연성/끈기
서울정수,서울 용산구,인공지능소프트웨어과,인공지능소프트웨어전공,정보통신IT계열,2년제학위과정,12,주간,"데이터를 수집·분석하여 학습 모델을 구축하고, 이를 활용해 지능형 서비스나 앱을 개발하기 위한 AI 알고리즘 설계와 소프트웨어 구현 기술을 배우는 전공입니다.",데이터/유연성/끈기
서울정수,서울 용산구,기계설계과,첨단가공시스템전공,기계계열,2년제학위과정,12,주간,"CNC 공작기계와 머시닝센터를 활용하여 금속 재료를 정밀하게 깎고 다듬는 기술을 바탕으로, 스마트 팩토리와 연계된 자동화 가공 시스템을 운용하고 관리하는 기술을 배우는 전공입니다.",정확성/기술탐구/현장감
서울정수,서울 용산구,기계시스템디자인과,제품설계전공,기계설계계열,2년제학위과정,12,주간,"사용자의 요구와 기능성을 고려하여 제품의 전체적인 메커니즘을 구상하고, 3D 모델링 및 시뮬레이션을 통해 실제 제조가 가능하도록 정밀하게 설계하는 기술을 배우는 전공입니다.",융합/창의력/치밀함
서울정수,서울 용산구,기계설계과,기계설계전공,기계계열,2년제학위과정,12,주간,산업체에서 필요로 하는 각종 기계 장치와 부품을 만들기 위해 공학적 지식을 바탕으로 CAD 소프트웨어를 활용하여 최적화된 도면을 작성하고 설계하는 기술을 배우는 전공입니다.,공간지각력/논리력/정교함
서울정수,서울 용산구,기계시스템디자인과,첨단가공시스템전공,기계계열,2년제학위과정,12,주간,"최신 CNC 공작기계와 정밀 측정 장비를 활용하여 복잡한 기계 부품의 제작 공정을 설계하고, 스마트 제조 시스템 기반의 고정밀 가공 실무 기술을 배우는 전공입니다.",정확성/응용력/집중력
서울정수,서울 용산구,메타버스콘텐츠과,메타버스콘텐츠전공,미디어계열,2년제학위과정,12,주간,"가상 현실(VR), 증강 현실(AR) 등 현실과 가상을 잇는 플랫폼 구축을 위해 3D 그래픽 엔진과 실감형 콘텐츠 제작 기술을 활용한 차세대 디지털 생태계 구현법을 배우는 전공입니다.",창의성/트렌드/입체감
서울정수,서울 용산구,메타버스콘텐츠과,메타버스콘텐츠직종,미디어계열,하이테크과정,10,주간,"가상 현실(VR), 증강 현실(AR) 등 현실과 가상을 잇는 플랫폼 구축을 위해 3D 그래픽 엔진과 실감형 콘텐츠 제작 기술을 활용한 차세대 디지털 생태계 구현법을 배우는 전공입니다.",창의성/트렌드/입체감
서울정수,서울 용산구,미래형자동차과,스마트자동차정비전공,자동차계열,2년제학위과정,12,주간,"내연기관 자동차의 정비 기술은 물론, 전기차와 수소차 같은 친환경 자동차의 고전압 시스템과 자율주행 소프트웨어 진단 기술을 배우는 전공입니다.",분석력/적응력/신중함
서울정수,서울 용산구,미래형자동차과,자동차시스템정비전공,자동차계열,2년제학위과정,12,야간,"자동차를 구성하는 엔진, 섀시, 전기·전자 장치 등 핵심 시스템의 구조를 이해하고, 첨단 진단 장비를 활용해 차량의 상태를 분석하여 최상의 주행 성능을 유지하는 정비 기술을 배우는 전공입니다.",분석력/책임감/성실함
서울정수,서울 용산구,미래형자동차과,친환경차체수리전공,자동차계열,2년제학위과정,12,주간,"친환경 자동차의 경량화된 특수 소재 차체를 복원하기 위해 첨단 장비로 변형을 교정하고, 용접 및 도장 기술을 활용하여 차량의 외형과 안전성을 원래대로 회복시키는 기술을 배우는 전공입니다.",섬세함/기술탐구/공간감
서울정수,서울 용산구,미래형자동차과,자율주행자동차직종,자동차계열,신중년특화과정,6,주간,"자동차의 눈 역할을 하는 센서 데이터 분석과 사물 인식 알고리즘을 이해하고, 차량 스스로 상황을 판단하여 안전하게 주행할 수 있도록 하는 제어 소프트웨어 및 시스템 구현 기술을 배우는 전공입니다.",논리력/융합/관찰력
서울정수,서울 용산구,지능형에너지설비과,지능형에너지설비전공,산업설비계열,2년제학위과정,12,주간,"건축물과 산업 현장의 효율적인 에너지 관리를 위해 냉난방, 공조, 신재생 에너지 시스템을 설계 및 시공하고, ICT 기술을 접목하여 스마트하게 제어하는 기술을 배우는 전공입니다.",실용성/적응력/책임감
서울정수,서울 용산구,지능형에너지설비과,공조냉동직종,산업설비계열,신중년특화과정,6,주간,"쾌적한 실내 환경과 산업 공정을 위해 공기 조화 및 냉동 장치를 설계, 설치하고 시스템의 효율적인 운영을 위한 유지보수와 자동제어 기술을 배우는 전공입니다.",실용성/치밀함/책임감
서울정수,서울 용산구,클라우드컴퓨팅과,클라우드서비스보안직종,정보통신IT계열,하이테크과정,10,주간,"클라우드 인프라의 가상화 자원을 보호하기 위해 네트워크 보안 체계를 구축하고, 외부의 사이버 공격으로부터 데이터를 안전하게 지키는 관제 및 대응 기술을 배우는 전공입니다.",방어력/분석력/윤리관
서울정수,서울 용산구,클라우드컴퓨팅과,클라우드구축운영전공,정보통신IT계열,2년제학위과정,12,주간,"기업의 서비스를 안정적으로 제공하기 위해 가상화 서버와 네트워크 인프라를 설계·구축하고, 자동화 도구를 활용하여 클라우드 자원을 효율적으로 관리하는 기술을 배우는 전공입니다.",시스템/효율성/적응력
서울정수,서울 용산구,친환경산업디자인과,친환경제품디자인직종,디자인계열,하이테크과정,10,주간,제품의 기획 단계부터 폐기까지 전 과정에서 환경에 미치는 영향을 최소화하도록 친환경 소재와 공법을 적용하여 지속 가능한 제품을 시각화하고 설계하는 기술을 배우는 전공입니다.,감수성/가치관/통찰력
서울정수,서울 용산구,친환경산업디자인과,친환경제품디자인전공,디자인계열,2년제학위과정,12,주간,제품의 기획 단계부터 폐기까지 전 과정에서 환경에 미치는 영향을 최소화하도록 친환경 소재와 공법을 적용하여 지속 가능한 제품을 시각화하고 설계하는 기술을 배우는 전공입니다.,감수성/가치관/통찰력
서울강서,서울 강서구,데이터분석과,데이터분석전공,정보통신IT계열,2년제학위과정,12,주간,"방대한 비정형 데이터를 수집하고 통계적 기법과 머신러닝 알고리즘을 활용하여 유의미한 인사이트를 도출하며, 이를 비즈니스 의사결정에 활용하는 기술을 배우는 전공입니다.",분석력/호기심/객관성
서울강서,서울 강서구,디지털콘텐츠과,영상콘텐츠전공,미디어계열,2년제학위과정,12,주간,"기획, 촬영, 편집 등 영상 제작의 전 과정을 실무 중심으로 다루며, 유튜브 콘텐츠부터 홍보 영상까지 목적에 맞는 고품질의 디지털 영상을 제작하고 송출하는 기술을 배우는 전공입니다.",표현력/트렌드/디테일
서울강서,서울 강서구,디지털콘텐츠과,콘텐츠디자인전공,미디어계열,2년제학위과정,12,주간,"다양한 디지털 매체 환경에 적합한 시각 디자인 요소를 기획하고, 그래픽 툴을 활용하여 사용자의 시선을 사로잡는 창의적인 인터페이스와 홍보 콘텐츠를 제작하는 기술을 배우는 전공입니다.",감각/유연성/표현력
서울강서,서울 강서구,의료정보과,시니어헬스케어직종,개별특성화계열,신중년특화과정,6,주간,"고령화 시대에 맞춰 시니어의 건강 상태를 모니터링하는 의료 기기 운용법과 체력 증진 프로그램을 설계하며, IT 기술을 접목한 맞춤형 건강관리 서비스를 제공하는 기술을 배우는 전공입니다.",공감/관찰력/봉사정신
서울강서,서울 강서구,의료정보과,의료정보전공,개별특성화계열,2년제학위과정,12,주간,"병원 현장에서 발생하는 방대한 의료 데이터를 효율적으로 관리하기 위해 의료 정보 시스템을 운영하고, 보건 의료 지식과 IT 기술을 융합하여 환자 정보를 안전하게 처리하는 기술을 배우는 전공입니다.",치밀함/보안성/융합
서울강서,서울 강서구,주얼리디자인과,주얼리디자인전공,개별특성화계열,2년제학위과정,12,주간,"장신구의 미적 가치를 극대화하기 위한 디자인 기획부터 귀금속 및 보석을 활용한 전통 세공 기법, 그리고 3D 모델링을 활용한 정밀 제작 기술까지 아우르는 실무를 배우는 전공입니다.",섬세함/심미안/인내심
서울강서,서울 강서구,주얼리디자인과,귀금속가공전공,개별특성화계열,2년제학위과정,12,주간,"금, 은 등의 귀금속 소재를 사용하여 형태를 만들고 보석을 세팅하는 등 전통적인 수공예 기법과 현대적 제작 공정을 통해 고품질의 장신구를 실물로 구현하는 기술을 배우는 전공입니다.",정교함/성실함/실천력
서울강서,서울 강서구,패션산업과,패션산업전공,섬유패션계열,2년제학위과정,12,주간,"패션 시장의 흐름을 분석하여 의류를 기획하고, 디자인부터 패턴 제작 및 시제품 완성까지의 전 과정을 아우르며 고부가가치를 창출하는 패션 실무 전반을 배우는 전공입니다.","트렌드, 표현력, 디테일"
서울강서,서울 강서구,실내건축디자인과,실내건축직종,개별특성화계열,전문기술과정,12,주간,"건축물의 내부 공간을 인간의 생활 양식에 맞춰 효율적이고 아름답게 구성하기 위해 도면 설계, 3D 그래픽 모델링, 그리고 실제 시공 및 마감 공정 기술을 배우는 전공입니다.",공간감/섬세함/실천력
서울강서,서울 강서구,실내건축디자인과,건축목공수장시공,개별특성화계열,신중년특화과정,6,주간,"실내 공간의 완성도를 높이기 위해 목재를 활용한 구조물 제작과 벽지, 바닥재, 시트지 등의 마감재를 정밀하게 시공하여 쾌적하고 아름다운 내부 환경을 조성하는 기술을 배우는 전공입니다.",정교함/성실함/실용성
서울강서,서울 강서구,스마트금융과,핀테크직종,정보통신IT계열,하이테크과정,10,주간,"금융 지식과 IT 기술을 결합하여 모바일 결제, 자산 관리 등 혁신적인 금융 서비스를 개발하기 위해 프로그래밍과 데이터 분석, 그리고 보안 솔루션 구축 기술을 배우는 전공입니다.",융합/논리력/신뢰성
서울강서,서울 강서구,출판편집디자인과,출판직종,개별특성화계열,하이테크과정,10,주간,"원고의 내용을 분석하여 독자가 읽기 편하도록 가독성 있는 레이아웃을 기획하고, 타이포그래피와 그래픽 요소를 활용해 종이 책부터 전자책까지 다양한 형태의 출판물을 제작하는 기술을 배우는 전공입니다.",가독성/미적감각/세심함
서울강서,서울 강서구,i-패션디자인과,테크니컬디자인전공,섬유패션계열,2년제학위과정,12,주간,"디자이너의 의도를 실제 의류로 구현하기 위해 정확한 치수의 작업지시서를 작성하고, 핏(Fit) 수정과 기술적 공정을 관리하여 제품의 완성도와 생산성을 높이는 기술을 배우는 전공입니다.",정밀함/분석력/소통
서울강서,서울 강서구,i-패션디자인과,스마트패션디자인전공,섬유패션계열,2년제학위과정,12,주간,전통적인 의상 디자인에 3D 가상 착장 시스템과 스마트 의류 기술을 접목하여 디지털 환경에 최적화된 미래형 패션 콘텐츠를 기획하고 제작하는 기술을 배우는 전공입니다.,혁신성/표현력/융합
서울강서,서울 강서구,패션디자인과,패션메이킹전공,섬유패션계열,2년제학위과정,12,주간,패션 디자인의 구상을 구체적인 실물 의상으로 구현하기 위해 평면 및 입체 패턴 제작부터 고난도의 봉제 기술과 의복 구성 원리를 전문적으로 배우는 전공입니다.,정교함/인내심/실천력
서울강서,서울 강서구,패션디자인과,스마트패션디자인전공,섬유패션계열,2년제학위과정,12,주간,"패션 디자인의 기초 위에 3D 가상 시뮬레이션과 디지털 기술을 융합하여 의상 제작 공정을 혁신하고, 미래 지향적인 스마트 의류와 콘텐츠를 기획·제작하는 기술을 배우는 전공입니다.",창의성/적응력/통찰력
서울강서,서울 강서구,패션디자인과,패션제품제작직종,섬유패션계열,신중년특화과정,6,주간,"가방, 구두, 모자 등 패션 의류 외의 다양한 소품을 기획하고, 가죽이나 특수 소재를 활용한 패턴 설계부터 섬세한 봉제 공정까지 거쳐 완성도 높은 패션 잡화를 만드는 기술을 배우는 전공입니다.",섬세함/실용성/성실함
서울강서,서울 강서구,외식조리과,글로벌한식조리직종,개별특성화계열,전문기술과정,12,주간,한국 전통 음식의 조리 원리와 정통성을 바탕으로 현대적인 감각과 외국인의 입맛을 고려한 메뉴를 개발하여 우리 음식을 세계에 알릴 수 있는 전문 조리 기술을 배우는 전공입니다.,수용성/섬세함/소통
서울강서,서울 강서구,외식조리과,한식조리직종,개별특성화계열,신중년특화과정,6,주간,한국 전통 음식을 구성하는 기초 조리법과 식재료에 대한 이해를 바탕으로 궁중 음식부터 대중적인 향토 음식까지 우리 고유의 맛과 영양을 살린 정갈한 상차림을 구현하는 기술을 배우는 전공입니다.,정성/섬세함/기초
서울강서,서울 강서구,외식조리과,음식조리직종(G6),개별특성화계열,전문기술과정,6,주간,"한식, 양식, 중식, 일식 등 다양한 장르의 조리 기초 이론과 실무 기술을 익혀 식재료의 특성에 맞는 최적의 맛을 구현하고 위생적인 주방 관리 능력을 갖춘 전문 조리사를 양성하기 위해 배우는 전공입니다.",현장성/청결/다양성
서울강서,서울 강서구,빅데이터과,클라우드기반빅데이터전공,정보통신IT계열,2년제학위과정,12,주간,"클라우드 인프라 환경을 구축하고 그 위에서 방대한 데이터를 수집, 저장, 처리할 수 있는 파이프라인을 설계하며 데이터 기반의 인사이트를 도출하는 엔지니어링 기술을 배우는 전공입니다.",논리력/적응력/분석력
서울강서,서울 강서구,사이버보안과,사이버보안전공,정보통신IT계열,2년제학위과정,12,주간,"해킹이나 악성코드와 같은 사이버 공격으로부터 네트워크와 시스템을 안전하게 보호하기 위해 보안 관제, 모의 해킹, 취약점 분석 및 디지털 포렌식 기술을 전문적으로 배우는 전공입니다.",윤리성/치밀함/지속성
서울강서,서울 강서구,사이버보안과,사이버보안직종,정보통신IT계열,하이테크과정,10,주간,"해킹이나 악성코드와 같은 사이버 공격으로부터 네트워크와 시스템을 안전하게 보호하기 위해 보안 관제, 모의 해킹, 취약점 분석 및 디지털 포렌식 기술을 전문적으로 배우는 전공입니다.",윤리성/치밀함/지속성
서울강서,서울 강서구,스마트전기융합기계과,스마트기계시스템직종,기계계열,전문기술과정,12,주간,전통적인 기계 설계 및 가공 기술에 스마트 팩토리 구현을 위한 자동화 제어와 사물인터넷(IoT) 기술을 융합하여 지능형 생산 시스템을 운용하고 유지 보수하는 기술을 배우는 전공입니다.,융합/정교함/문제해결
서울강서,서울 강서구,디지털애니메이션과,애니메이션직종,디자인계열,전문기술과정,12,주간,"캐릭터와 배경에 생명력을 불어넣기 위해 기획 및 스토리보드 작성부터 2D·3D 그래픽 제작, 합성, 편집 등 영상 콘텐츠를 완성하는 전 과정을 배우는 전공입니다.",관찰력/창의성/몰입도
성남,경기 성남시,생명정보시스템과,바이오제약직종,바이오계열,하이테크과정,10,주간,"바이오 의약품의 안전한 생산을 위해 미생물 및 동물세포 배양, 정제 공정을 운영하고 제품의 품질을 분석하며 국제 기준에 부합하는 의약품 제조 관리 기술을 배우는 전공입니다.",원칙/피밀함/청결
성남,경기 성남시,스마트기계정비과,시스템진단전공,자동화계열,2년제학위과정,12,주간,"산업 설비의 가동 상태를 실시간으로 모니터링하고 데이터 분석을 통해 고장 징후를 사전에 포착하여, 기계 시스템의 최적 성능 유지와 사고 예방을 위한 전문 점검 기술을 배우는 전공입니다.",분석력/신중함/기술융합
성남,경기 성남시,스마트전기과,신재생에너지전공,전기계열,2년제학위과정,12,주간,"태양광, 풍력 등 자연 에너지를 전기로 변환하는 발전 설비의 설계와 시공부터 효율적인 에너지 관리를 위한 전기 제어 및 유지 보수 기술을 배우는 전공입니다.",공공성/기술융합/현장성
성남,경기 성남시,스마트전기과,전력IT융합전공,전기계열,2년제학위과정,12,야간,전통적인 전력 계통 기술에 정보통신기술(ICT)을 접목하여 스마트 그리드와 지능형 전력망을 구축하고 효율적으로 에너지를 제어 및 관리하는 시스템 운영 기술을 배우는 전공입니다.,융합/논리력/통찰력
성남,경기 성남시,스마트전기과,전력IT융합전공,전기계열,2년제학위과정,12,주간,전통적인 전력 계통 기술에 정보통신기술(ICT)을 접목하여 스마트 그리드와 지능형 전력망을 구축하고 효율적으로 에너지를 제어 및 관리하는 시스템 운영 기술을 배우는 전공입니다.,융합/논리력/통찰력
성남,경기 성남시,전기과,전력IT융합전공,전기계열,2년제학위과정,12,야간,안정적인 전력 공급을 위한 전기 설비 기술을 바탕으로 정보통신기술(ICT)을 결합하여 지능형 전력망을 제어하고 실시간으로 에너지를 효율적으로 관리하는 지능형 시스템 기술을 배우는 전공입니다.,정밀성/학습력/실용성
성남,경기 성남시,전기과,전력IT융합전공,전기계열,2년제학위과정,12,주간,안정적인 전력 공급을 위한 전기 설비 기술을 바탕으로 정보통신기술(ICT)을 결합하여 지능형 전력망을 제어하고 실시간으로 에너지를 효율적으로 관리하는 지능형 시스템 기술을 배우는 전공입니다.,정밀성/학습력/실용성
성남,경기 성남시,전기과,전기내선직종,전기계열,신중년특화과정,6,주간,"건축물 내부의 조명, 콘센트, 동력 설비 등을 안전하게 사용하기 위해 전선관을 배관하고 전선을 입선하여 안정적인 전기 공급 체계를 구축하는 시공 및 점검 기술을 배우는 전공입니다.",꼼꼼함/안전의식/공간지각
성남,경기 성남시,전기과,전기내선직종(G6),전기계열,전문기술과정,6,주간,"건축물 내부의 조명, 콘센트, 동력 설비 등을 안전하게 사용하기 위해 전선관을 배관하고 전선을 입선하여 안정적인 전기 공급 체계를 구축하는 시공 및 점검 기술을 배우는 전공입니다.",꼼꼼함/안전의식/공간지각
성남,경기 성남시,반도체소재응용과,"반도체공정,분석전공",신소재계열,2년제학위과정,12,주간,"반도체 제조의 핵심인 웨이퍼 가공 공정과 박막 형성 기술을 익히고, 첨단 장비를 활용하여 소자의 특성을 정밀하게 측정하고 분석하여 수율을 개선하는 기술을 배우는 전공입니다.",치밀함/분석력/평정심
성남,경기 성남시,반도체소재응용과,"반도체소재,품질전공",신소재계열,2년제학위과정,12,주간,반도체 제조에 사용되는 필수 소재의 특성을 파악하고 엄격한 시험 검사를 통해 원재료부터 최종 제품까지의 품질을 규격에 맞게 관리 및 보증하는 기술을 배우는 전공입니다.,신중함/책임감/정교함
성남,경기 성남시,스마트자동화과,ICT제어전공,자동화계열,2년제학위과정,12,주간,"산업 현장의 자동화 설비를 지능적으로 운영하기 위해 PLC 제어, 산업용 로봇 프로그래밍, 그리고 사물인터넷(IoT) 기술을 융합하여 스마트 팩토리 시스템을 구축하고 관리하는 기술을 배우는 전공입니다.",논리력/응용력/현장성
성남,경기 성남시,스마트자동화과,인텔리전스제어전공,자동화계열,2년제학위과정,12,주간,인공지능(AI)과 딥러닝 기술을 자동화 시스템에 접목하여 스스로 상황을 판단하고 최적의 공정을 수행하는 지능형 제어 시스템을 설계하고 운영하는 기술을 배우는 전공입니다.,탐구심/분석력/유연성
성남,경기 성남시,전자정보통신과,지능형사물인터넷,전자계열,2년제학위과정,12,주간,"다양한 사물에 센서와 통신 기능을 결합하여 데이터를 수집하고, 인공지능(AI)을 통해 이를 분석하고 제어함으로써 지능적인 서비스를 제공하는 시스템의 설계 및 구현 기술을 배우는 전공입니다.",연결성/창의성/적응력
